stake_address,payment_address,reward
stake1uym4kdxmg7zran3lk3r84272h37qs00n5yu933ksrfdvclsfk0yxn, addr1qy9hc3khh22us6qthe20mtdykxhyf56rqapytndlkks6cvehtv6dk3uy8m8rldzx024u40rupq7l8gfctrrdqxj6e3lq5nhmht,736
stake1u9xez0gjtpmq9qzyyy3yvmcr3wv9sg7mzdr6amm03kh394c6wmhwa, addr1q8usqyc6dedu700g30az6quespk97wc36l6nrzaser922czdjy73ykrkq2qyggfzgehs8zuctq3aky684mhklrd0zttssnawl6,726
stake1u8gkkm42m0m77g4ah9t5frlvqe7hl02sr6cetkj37g4xevcf80wlq, addr1qx5xkvj2tn6mlavtw6tt5dafw9f64u9dcjtdut2wh4r7rhx3ddh24klhau3tmw2hgj87cpna0774q843jhd9ru32djes5q4z4m,725
stake1uyrc45zcezt7v7arat4ameltyu09z5ttqh3pu6vrwu0jugsfasgnh, addr1q90klsrjuh4lht7m39wkcqac8ep0h8zenaevpt2hfu0qe8q83tg93jyhuea686htmhn7kfc729gkkp0zre5cxacl9c3qsjwcv2,699
stake1u9jughla8x3jjkcv4spdqak3cjc7vd835dn44dkjgzdy9yg2nnxpc, addr1qyn9h5jp4rlav3s63v4kfcq54avgqajzd72l7mrzwakv4st9c30l6wdr99dsetqz6pmdr393uc60rgm8t2mdysy6g2gs7xskcr,666
stake1u9t40xyseh0x84ccdcsrzpjp785jp450qmspxlm7kaun9lqjwpla9, addr1q833fjm0x6chlf3urs3smf6rrqv7yjazf66a3qzvjpe2062h27vfpnw7v0t3sm3qxyryru0fyrtg7phqzdlhadmext7qn8687w,646
stake1u8u4zjag98pzeh8tu79qw74k9hpg9m8rvkrts6duu8q5spsq24fa9, addr1q8gzddxq2hs6dqta0tqmpg0p0wveagy9kxj7jd508epmkjle2996s2wz9nwwheu2qaatvtwzstkwxevxhp5mecwpfqrqs8wpq2,643
stake1u92ajnumc6dzct3fgzujlexqzwe2nguayp5p87j5sffz5zgr3nwjh, addr1qyg8d0dmxfml3y22u2lne40h4zez3kkuwl4jeslj9qm3e2z4m98eh3569shzjs9e9ljvqyaj4x3e6grgz0a9fqjj9gys8gsh69,624
stake1uypncyj3aj25h48r73j736a7tck05fe0tsw5h6cwqgvvdqsh0xdxz, addr1q8pmk843nyvn8zavy7jdfmvf8exsmh7ld845nljyusph7msr8sf9rmy4f02w8ar9ar4muh3vlgnj7hqaf04suqscc6pqyc4uxc,609
stake1u9yrkgr3h4uc049nj0cfm6kv2qggsykgc0kjal4vvtaf3lcdgqfwl, addr1qx9r3y073dusca4c6jj8hkpynewxwzvr3ytqs9ppwytc8lzg8vs8r0tesl2t8ylsnh4vc5qs3qfv3sld9ml2cch6nrlszu8f60,602
stake1uxk7ewyhdzmmmsp630kkkzr68ageyhmhlpurnpevpra4a6cp60gm4, addr1q8f66xa7lx7z32fdp87cpa588z6n4lgfp04mx5fucn2zrgddajufw69hhhqr4zlddvy85063jf0h07rc8xrjcz8mtm4ska8a2c,600
stake1uxar2e6hcszej8njywgvs5f8fa6030a0fu7e45tly7ss55q7ct0vd, addr1q98tgs9lmdw248mueykrzq63gh7xjgrnqtq8pm7mkh57v796x4n403q9ny08ygusepgjwnm5lzl67neantgh7fappfgquasusf,583
